Name,State,AL,AK,AZ,AR,CA,CNMI,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,VA,VI,WA,WV,WI,WY,Calculated SARA Total,Calculated non-SARA Total,Grand Total
The King's University,TX,2,0,3,2,30,0,2,1,0,1,3,4,1,1,0,2,0,3,0,4,0,2,0,5,1,1,2,1,0,0,0,2,1,1,6,0,4,2,3,3,0,0,0,0,7,0,1,0,2,0,5,0,6,0,81,33,114
The New School,NY,0,0,1,0,13,0,0,1,0,0,9,0,0,0,1,1,0,1,1,1,0,1,4,0,1,0,0,0,0,0,0,7,0,0,3,0,1,0,1,2,0,0,0,0,0,0,0,0,5,0,2,0,0,0,30,268,298
The Sage Colleges,NY,1,0,0,0,17,0,12,10,0,1,6,2,1,0,3,0,0,0,0,3,1,3,9,3,0,1,1,0,0,1,2,10,0,0,0,1,2,0,0,5,0,1,3,0,1,8,0,3,3,0,3,0,2,0,87,32,119
The Seattle School of Theology and Psychology,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Southern Baptist Theological Seminary,KY,31,1,6,25,53,0,8,4,8,12,58,54,5,2,35,37,4,5,0,10,1,31,8,21,19,15,22,1,0,8,0,19,5,15,22,0,42,32,4,18,4,3,22,1,104,97,6,0,24,0,19,13,5,0,816,124,940
The University of Alabama,AL,0,5,15,16,80,0,12,9,5,6,135,187,10,6,38,20,8,11,20,43,6,42,11,21,12,75,29,0,4,11,5,39,8,51,71,1,36,9,8,38,0,1,44,1,103,162,7,1,58,0,22,2,15,1,1294,228,1522
The University of Findlay,OH,0,0,3,1,6,0,2,0,0,0,1,3,0,0,9,11,1,0,3,1,0,2,0,21,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,9,0,0,1,0,1,3,0,0,3,0,2,2,0,0,84,7,91
The University of Holy Cross,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2
The University of Montana,MT,1,3,1,0,6,0,5,0,0,0,2,2,1,7,2,1,0,0,0,0,0,0,1,1,2,0,3,0,1,0,0,2,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,3,0,13,0,1,4,59,11,70
The University of Montana - Western,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4
The University of Southern Mississippi,MS,48,2,0,10,18,0,8,5,1,0,29,23,3,2,10,3,8,2,5,72,1,10,5,6,5,0,15,1,4,2,2,7,1,12,17,2,17,6,2,12,0,2,10,1,28,34,2,0,20,0,10,4,11,0,446,52,498
The University of Tennessee - Martin,TN,5,0,1,6,5,0,0,0,0,0,11,12,2,0,3,6,0,0,8,1,0,1,1,1,0,9,5,0,0,1,0,1,0,1,5,1,4,1,0,1,0,0,3,0,0,6,0,1,5,0,1,1,1,0,93,17,110
The University of Texas at Arlington,TX,38,13,118,59,1305,0,135,84,6,3,255,151,27,6,94,13,25,18,26,35,3,44,20,73,14,48,37,9,15,27,8,125,99,92,36,6,35,114,79,97,0,1,157,1,29,0,12,8,144,0,31,7,39,16,2257,1580,3837
The University of Texas at Austin,TX,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,1,0,1,2,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,19,3,22
The University of Texas at Dallas,TX,0,0,4,2,6,0,3,0,0,0,5,1,1,0,0,1,0,13,2,1,0,3,2,1,1,0,2,0,0,1,0,3,2,4,3,0,5,2,2,0,0,1,3,0,4,0,1,0,6,0,3,0,0,0,75,13,88
The University of Texas at El Paso,TX,0,3,6,0,11,0,2,0,0,1,5,5,5,0,1,0,0,0,1,2,0,2,1,0,0,0,0,0,0,2,0,1,17,3,2,0,1,2,3,1,0,0,1,0,2,0,0,1,7,0,2,0,0,0,73,17,90
