UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW
444219,R,819,R,282,R,537,R,6,R,3,R,3,R,86,R,30,R,56,R,14,R,3,R,11,R,111,R,37,R,74,R,7,R,1,R,6,R,530,R,189,R,341,R,43,R,15,R,28,R,19,R,4,R,15,R,3,Z,0,R,3
444228,R,10,R,1,R,9,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,1,Z,0,R,1,R,1,Z,0,R,1,R,0,Z,0,Z,0,R,7,Z,0,R,7,R,1,R,1,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
444237,R,196,R,38,R,158,R,0,R,0,R,0,R,4,R,2,R,2,R,178,R,31,R,147,R,3,R,1,R,2,R,0,R,0,R,0,R,4,R,0,R,4,R,4,R,2,R,2,R,3,R,2,R,1,R,0,R,0,R,0
444255,R,53,R,9,R,44,R,0,Z,0,Z,0,R,2,R,2,Z,0,R,18,R,4,R,14,R,1,Z,0,R,1,R,0,Z,0,Z,0,R,30,R,3,R,27,R,2,Z,0,R,2,R,0,Z,0,Z,0,R,0,Z,0,Z,0
444264,R,113,R,32,R,81,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,113,R,32,R,81,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
444282,R,46,R,5,R,41,R,0,R,0,R,0,R,0,R,0,R,0,R,21,R,3,R,18,R,2,R,0,R,2,R,0,R,0,R,0,R,17,R,0,R,17,R,3,R,2,R,1,R,3,R,0,R,3,R,0,R,0,R,0
444291,R,38,R,3,R,35,R,0,R,0,R,0,R,0,R,0,R,0,R,36,R,3,R,33,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0
444307,R,46,R,2,R,44,R,0,R,0,R,0,R,4,R,0,R,4,R,7,R,0,R,7,R,0,R,0,R,0,R,0,R,0,R,0,R,24,R,2,R,22,R,0,R,0,R,0,R,11,R,0,R,11,R,0,R,0,R,0
444316,R,72,R,0,R,72,R,2,R,0,R,2,R,0,Z,0,R,0,R,3,Z,0,R,3,R,2,Z,0,R,2,R,0,Z,0,Z,0,R,63,Z,0,R,63,R,0,Z,0,R,0,R,2,Z,0,R,2,R,0,Z,0,Z,0
444325,R,46,R,6,R,40,R,0,Z,0,Z,0,R,4,Z,0,R,4,R,3,R,2,R,1,R,36,R,4,R,32,R,0,Z,0,Z,0,R,3,Z,0,R,3,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
